city,state,HotelName,Address,PhoneNumber,HotelWebsite,HotelRating,Spa,Airport shuttle,Business Center,Pool,Contactless check,Pet friendly,Free Wifi,Wheel-chair accessible,Complementary breakfast,Fitness Center,24 hr front desk,Valet Parking,Open bar,smoking
Swedesboro,NJ,Hampton Inn  Bridgeport,2 Pureland Drive SwedesboroNew Jersey 08085,8564676200,http://hamptoninn3.hilton.com/en/hotels/new-jersey/hampton-inn-philadelphia-bridgeport-BDGNJHX/index.html,2.0,0,0,1,1,0,0,0,1,1,1,1,1,1,0
Swedesboro,NJ,Holiday Inn  South,One Pureland Drivepureland Industrial Park I 295 SwedesboroNew Jersey 08085,8564673322,http://www.ihg.com/holidayinn/hotels/de/de/swedesboro/bdgnj/hoteldetail,3.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0
Swedesboro,NJ,TownePlace Suites,3 Pureland Drive 08085 Swedesboro Swedesboro08085 New Jersey,8562419900,http://www.marriott.com/hotels/travel/phlsw-towneplace-suites-swedesboro-philadelphia,3.0,0,0,1,1,0,0,0,1,1,1,1,1,1,0
Mount Laurel,NJ,Hampton Inn  Mt. Laurel,5000 Crawford Place Mount LaurelNew Jersey 08054,8567785535,http://hamptoninn3.hilton.com/en/hotels/new-jersey/hampton-inn-philadelphia-mt-laurel-PMLNJHX/index.html,2.0,0,0,1,1,0,0,0,1,1,1,1,1,0,0
Mount Laurel,NJ,DoubleTree Suites by Hilton Hotel Mt. Laurel,515 Fellowship Road North Mount LaurelNew Jersey 08054,8567788999,http://doubletree3.hilton.com/en/hotels/location/P,4.0,1,0,1,1,1,0,0,1,1,1,1,1,1,0
Mount Laurel,NJ,The Hotel ML,915 Route 73 Mount LaurelNJ 08054,8562347300,http://thehotelml.com,3.0,0,0,1,1,1,0,0,1,1,1,1,1,0,0
Mount Laurel,NJ,Super 8,560 Fellowship Road Mount LaurelNew Jersey 08054,8568022800,http://www.super8.com/hotels/new-jersey/mount-laurel/super-8-mount-laurel/hotel-overview,2.0,0,0,1,0,0,0,0,1,1,0,1,1,0,0
Mount Laurel,NJ,Hilton Garden Inn,4000 Atrium Way Mount LaurelNew Jersey 08054-3916,8562344788,http://hiltongardeninn.hilton.com/en/gi/hotels/index.jhtml?ctyhocn=PHLMTGI,3.0,0,0,1,1,0,0,0,1,1,1,1,1,1,0
Mount Laurel,NJ,Courtyard by Marriott Mt. Laurel,1000 Century Pkwy Mount LaurelNew Jersey 08054,8562734400,http://www.marriott.com/hotels/travel/phlml-courtyard-mt-laurel,3.0,0,0,1,0,1,0,0,1,1,1,1,1,1,0
Mount Laurel,NJ,Candlewood Suites  Mt. Laurel,4000 Crawford Place Mount LaurelNew Jersey 08054,8566427567,http://www.ihg.com/candlewood/hotels/us/en/mount-laurel/blncw/hoteldetail,2.0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
Mount Laurel,NJ,Extended Stay America  Mt Laurel Pacilli Place,500 Diemer Dr Mount LaurelNew Jersey 08054,8566089820,http://www.extendedstayamerica.com/hotels/pa/philadelphia/mt-laurel-pacilli-place,2.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
Mount Laurel,NJ,Fairfield Inn & Suites by Marriott,350 Century Pkwy Mount LaurelNew Jersey 08054,8566420600,http://www.marriott.com/hotels/travel/phlfm-fairfield-inn-and-suites-mt.-laurel/,2.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0
Mount Laurel,NJ,Homewood Suites By Hilton,1422 Nixon Drive Mount LaurelNew Jersey 08054,8562229001,http://homewoodsuites3.hilton.com/en/hotels/new-jersey/homewood-suites-by-hilton-mt-laurel-EWRMLHW/index.html,3.0,0,0,1,0,1,0,0,1,1,1,1,1,0,0
Mount Laurel,NJ,Knights Inn,1104 Route 73 South Mount LaurelNew Jersey 08054,8567783500,http://www.knightsinn.com/hotels/new-jersey/mount-laurel/knights-inn-mount-laurel/hotel-overview?cid=local,2.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
Mount Laurel,NJ,Hyatt House Mt. Laurel,3000 Crawford Pl Mount LaurelNew Jersey 08054,8562221313,http://www.mtlaurel.house.hyatt.com/en/hotel/home.html,3.0,0,0,1,1,1,0,0,1,0,0,1,1,1,0
Mount Laurel,NJ,Hyatt Place Mt. Laurel,8000 Crawford Place Mount LaurelNew Jersey 08054,8568400770,http://mtlaurel.place.hyatt.com/en/hotel/home.html?src=agn_mls_hp_lclb_gplaces_PHLZM,3.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0
Mount Laurel,NJ,TownePlace Suites by Marriott Mt. Laurel,450 Century Pkwy Mount LaurelNew Jersey 08054,8567788221,http://www.marriott.com/hotels/travel/phltl-towneplace-suites-mt-laurel,2.0,0,0,0,1,1,0,0,1,1,1,1,1,0,0
