State,Attraction,Address,City,Zip Code,"Location (Lat, Long)",Rating,Image URL,Category,Opening Hours
AL,Heart of Dixie Railroad Museum,"1919 9th Street, Calera",Calera,35040,"33.0992639, -86.7499083",4.5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DM8kSlicwCiC5H89MVI_KnCMZ6hJfOICO-jfg5iol48KuF7JJcuR7LH5CzvTH7R4VaY26fnutdlKLebKy6YbLMEIYUEoHOADDicb7RDhD8pQQCrxKWYsrnqALDMdtqulIxqHZ6D1krkUk04ii_G6_fmvCww8YIT7gIL0DJPGOQgP5PG&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"museum, tourist_attraction, point_of_interest, establishment","Monday: Closed
Tuesday: 9:00AM - 2:00PM
Wednesday: 9:00AM - 2:00PM
Thursday: 9:00AM - 2:00PM
Friday: 9:00AM - 2:00PM
Saturday: 9:00AM - 3:30PM
Sunday: Closed"
AL,American Village,"3727 Highway 119, Montevallo",Montevallo,35115,"33.13796979999999, -86.8298952",4.6,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DPEr3W31bKtgPhQ6bOsQomVL27QrUtDOY3lDIaFaLXp2swVub0uUkYERPdKtG8pEI2keKvx3LQZyB04CHHZfyq4S1Ph3bmgtvki_JpgRe5aaIFEML10evmL0G68O39uJYNKJOEmk9YQPu1if24prfRsgz0ZedELqWoGiyNAEJfXdWzx&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"tourist_attraction, museum, point_of_interest, establishment","Monday: 10:00AM - 4:00PM
Tuesday: 10:00AM - 4:00PM
Wednesday: 10:00AM - 4:00PM
Thursday: 10:00AM - 4:00PM
Friday: 10:00AM - 4:00PM
Saturday: Closed
Sunday: Closed"
AL,Brierfield Iron Works Park,"240 Furnace Parkway, Brierfield",Brierfield,35035,"33.0394444, -86.9488889",4.6,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DMEDm3enOcXI1T1-xSoSKf875xtaQLsvX5HfCISQhnhjJknzgT-b-U-RxSs1FmL04xhdfYiYIcZsJ4TOHK-op2oJ653xOcyCJBrAV6xLRbZ3olr39t3E8L8AEPWn9krQ2zsomoJj2xlwgPJOL3H11Dua6icgH2ndU1iXylmQuyDjbW-&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: 9:00AM - 5:00PM
Tuesday: 9:00AM - 5:00PM
Wednesday: 9:00AM - 5:00PM
Thursday: 9:00AM - 5:00PM
Friday: 9:00AM - 5:00PM
Saturday: 9:00AM - 5:00PM
Sunday: 1:00AM - 5:00PM"
AL,Wood Park,"9017 Franklin Street #8947, Thorsby",Thorsby,35171,"32.9133964, -86.7143184",4.3,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DPqRRbgP0sYVr0Zg7UWGtcvh8RFXhx0ILtUJX8FDDw6L9SnH0_VzxtmM63kMQ0G0yqIiVhIawWKjjCCBszH9XP4T10Xmo_QuVD_ylsH1Llmz_qpxwgTNrg5GU311jw0SiVYiB0M3-aqR49zIBafYAgHTbTf9I43mjHkMdfqILPlyotv&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment",N/A
AL,Montevallo Park & Recreation,"154 Vine Street, Montevallo",Montevallo,35115,"33.0971668, -86.85862499999999",4.6,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DPqhlaiuQ3NmCSW5NiN2rJXVIQaF4_Wmxs19rEJT4dtS7da5xs0bqfOt4Xo2q_mQ6BtcmM05g3-AwUrlbg2T1jfN6jygY4qahYklb0z3tLT5vruAogrWzEXxFlgFv8VGyGvGFCQk2-8WmFGVEX1_0e4g3qaFZlekRejojPlI8IQXnD-&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: 6:00AM - 9:00PM
Tuesday: 6:00AM - 9:00PM
Wednesday: 6:00AM - 9:00PM
Thursday: 6:00AM - 9:00PM
Friday: 6:00AM - 9:00PM
Saturday: 6:00AM - 9:00PM
Sunday: 6:00AM - 9:00PM"
AL,Stephens Park,"500 County Road 10, Montevallo",Montevallo,35115,"33.1100982, -86.8821032",4.1,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DMDvd40e-Dugb72JI5yNRNy4mAk5sofQnK_1jupvZN7-9Aujgm0YxheMLy8ygL2ozZCfIo7uhS-dI3fkcW-FiAwd6OUZ2PjD3XkBLRixWLwpqy3FphxasIMjCZiwsf6wlUe7uLcYkbsqfplb3mRrcCDLrFpOLg-SYA0xeVbfHBQovRK&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: 8:00AM - 11:00PM
Tuesday: 8:00AM - 11:00PM
Wednesday: 8:00AM - 11:00PM
Thursday: 8:00AM - 11:00PM
Friday: 8:00AM - 11:00PM
Saturday: 8:00AM - 11:00PM
Sunday: 8:00AM - 11:00PM"
AL,George W. Roy Recreational Park,"2465 2nd Avenue, Calera",Calera,35040,"33.11825179999999, -86.7672318",4.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DMVQn4YoVfJSv20dzHavYMdxqJk87WydUKpQWqwJxBOkl561CQ5fv6HYMa2S2jT-u-sdU2LCy_nFKxP8D3o89OTzpyqoN3W8mUs2c_li37nroStROdWZ00xT8Z2LFidKV8ROGTK6RGV-BvYepcP4j8p4U1evMV3ViG4jWPr5UJVdpY&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: 6:00AM - 10:00PM
Tuesday: 6:00AM - 10:00PM
Wednesday: 6:00AM - 10:00PM
Thursday: 6:00AM - 10:00PM
Friday: 6:00AM - 10:00PM
Saturday: 6:00AM - 10:00PM
Sunday: 6:00AM - 10:00PM"
AL,Shoal Creek Park,"2781 Highway 119, Montevallo",Montevallo,35115,"33.125608, -86.8422488",4.8,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DOxkcswrBXoBYlTJPWFPzkt6qf7vBLn3-AJHLy4MPxh_nFewrvoytgy0MEil4b0VOh5TXj_mYRrReI1Fmm5i_sVbvsiG9CBnRO0v1KPBzuRa1ppQ1q0KnM_GrYKQzfhUYe1GXRcy87mYuQon1oOGX1P6i53ozp4zmibzjrueXTIphI&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: 7:00AM - 7:00PM
Tuesday: 7:00AM - 7:00PM
Wednesday: 7:00AM - 7:00PM
Thursday: 7:00AM - 7:00PM
Friday: 7:00AM - 7:00PM
Saturday: 7:00AM - 7:00PM
Sunday: 7:00AM - 7:00PM"
AL,Kathy Stiles Freeland Bibb County Glades Preserve,"Bibb County 65, Brierfield",Brierfield,35035,"33.0591194, -87.0342361",4.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DN2bR05frYZUCX2y8iCgWW1Fv9La5esNwZcjwBw1txMhfuLa3Un_PXGe_erD3G02kOBFZKkMAXK2bC5Wx_TPHqZAdKhFPRdZf-ojseoxSprnR5-VGhFzsxkUYWaWgXZuTpDWIDVZcxe5g2BKytTNXnw8sMLnBhYY7GnfuM3LCKHCoeE&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"park, tourist_attraction, point_of_interest, establishment","Monday: 7:00AM - 7:00PM
Tuesday: 7:00AM - 7:00PM
Wednesday: 7:00AM - 7:00PM
Thursday: 7:00AM - 7:00PM
Friday: 7:00AM - 7:00PM
Saturday: 7:00AM - 7:00PM
Sunday: 7:00AM - 7:00PM"
AL,Golly Hole,Montevallo,Montevallo,35115,"33.1330683, -86.7756922",2.6,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdCG2DPVEkEDX7bwjhrKPohqvM7A9B-iZcgQoEYvaqVMMzQnZCDPcRhocqdnxy1AGr3dwv5Xax73WV4eJPVZWPPRFHyhIpyWkS811Qs7wX4zs-ZboCjDDFvZA39d5mMUYN8CERpjbqf8f44tq4W9QcFZ_s7jy0DfP0KOja8jWhC4p6RxnuLv&key=AIzaSyDUWF6pbgXjfbaIBw8oD1rAhzQRejvsDRE,"tourist_attraction, point_of_interest, establishment",N/A
